   228
   2070.0   0.50382   0.00627
   2080.0   0.50385   0.00607
   2090.0   0.50224   0.00587
   2100.0   0.49882   0.00632
   2110.0   0.49511   0.00500
   2120.0   0.49140   0.00505
   2130.0   0.48900   0.00550
   2140.0   0.48727   0.00471
   2150.0   0.48755   0.00501
   2160.0   0.49026   0.00527
   2170.0   0.49370   0.00535
   2180.0   0.49463   0.00482
   2190.0   0.49809   0.00505
   2200.0   0.49971   0.00623
   2210.0   0.50308   0.00635
   2220.0   0.50379   0.00581
   2230.0   0.50350   0.00575
   2240.0   0.50369   0.00639
   2250.0   0.50144   0.00642
   2260.0   0.49911   0.00603
   2270.0   0.50073   0.00608
   2280.0   0.50410   0.00559
   2290.0   0.50533   0.00589
   2300.0   0.50559   0.00538
   2310.0   0.50606   0.00558
   2320.0   0.50546   0.00554
   2330.0   0.50517   0.00591
   2340.0   0.50236   0.00585
   2350.0   0.50080   0.00600
   2360.0   0.49981   0.00578
   2370.0   0.49777   0.00577
   2380.0   0.49720   0.00597
   2390.0   0.49943   0.00528
   2400.0   0.49914   0.00589
   2410.0   0.49965   0.00580
   2420.0   0.49915   0.00592
   2430.0   0.49882   0.00559
   2440.0   0.49816   0.00646
   2450.0   0.49730   0.00583
   2460.0   0.49623   0.00528
   2470.0   0.49404   0.00488
   2480.0   0.49723   0.00607
   2490.0   0.49590   0.00541
   2500.0   0.49455   0.00516
   2510.0   0.49334   0.00511
   2520.0   0.49319   0.00601
   2530.0   0.49147   0.00675
   2540.0   0.49207   0.00617
   2550.0   0.49158   0.00923



 C1AA01              .ASC                        

 AA-A1S-001                                                              
 NH4-annite                                                              
 Experiment 4.001                                                        
 * User: MAS                                                             
 * Research Type: Astrobiology,                                          
 * NASA PI/CoI or Sponsor: A1S                                           
 * BVC: Visitor                                                          
 * Public Release Date: 10/29/2011                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic - Alternate                                     
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 3.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: Out                                                      
 * Initial Background at Home: 7.510478e-004                             
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 29-OCT-08   Time: 17:00:11
